round_epochs,loss,acc,val_loss,val_acc,activation,batch_size,dropout,epochs,last_activation,losses,lr,optimizer
15,0.13020954688079847,0.9510299,0.13957794346491031,0.9478694,<function relu at 0x135faad90>,2,0.0,15,<function sigmoid at 0x135faaea0>,<function categorical_crossentropy at 0x134d851e0>,0.5,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>
15,0.12458707201675462,0.9521959,0.1365634486557345,0.92883044,<function relu at 0x135faad90>,2,0.0,15,<function sigmoid at 0x135faaea0>,<function categorical_crossentropy at 0x134d851e0>,0.95,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>
15,0.11976082628086872,0.9521959,0.10669612689914705,0.95194924,<function relu at 0x135faad90>,2,0.0,15,<function sigmoid at 0x135faaea0>,<function categorical_crossentropy at 0x134d851e0>,1.4,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>
15,0.10310090667799363,0.9568597,0.10655574879993719,0.9564823,<function relu at 0x135faad90>,2,0.0,15,<function sigmoid at 0x135faaea0>,<function categorical_crossentropy at 0x134d851e0>,1.8499999999999999,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>
15,nan,0.16498251,nan,0.17089756,<function relu at 0x135faad90>,2,0.0,15,<function sigmoid at 0x135faaea0>,<function categorical_crossentropy at 0x134d851e0>,2.3,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>
15,nan,0.16498251,nan,0.17089756,<function relu at 0x135faad90>,2,0.0,15,<function sigmoid at 0x135faaea0>,<function categorical_crossentropy at 0x134d851e0>,2.75,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>
15,nan,0.16498251,nan,0.17089756,<function relu at 0x135faad90>,2,0.0,15,<function sigmoid at 0x135faaea0>,<function categorical_crossentropy at 0x134d851e0>,3.1999999999999997,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>
15,nan,0.16498251,nan,0.17089756,<function relu at 0x135faad90>,2,0.0,15,<function sigmoid at 0x135faaea0>,<function categorical_crossentropy at 0x134d851e0>,3.6499999999999995,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>
15,0.13643017375329686,0.94656044,0.1836159231475752,0.9406165,<function relu at 0x135faad90>,2,0.0,15,<function sigmoid at 0x135faaea0>,<function categorical_crossentropy at 0x134d851e0>,4.1,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>
15,0.16983593546024225,0.94597745,0.15417982283884804,0.9528558,<function relu at 0x135faad90>,2,0.0,15,<function sigmoid at 0x135faaea0>,<function categorical_crossentropy at 0x134d851e0>,4.55,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>
15,0.1458150186855822,0.9411193,0.13792360945824558,0.9356301,<function relu at 0x135faad90>,2,0.1,15,<function sigmoid at 0x135faaea0>,<function categorical_crossentropy at 0x134d851e0>,0.5,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>
15,0.12258057430684588,0.95122427,0.10975239328563793,0.956029,<function relu at 0x135faad90>,2,0.1,15,<function sigmoid at 0x135faaea0>,<function categorical_crossentropy at 0x134d851e0>,0.95,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>
15,0.14687071807722796,0.94364554,0.14520852230995573,0.93925655,<function relu at 0x135faad90>,2,0.1,15,<function sigmoid at 0x135faaea0>,<function categorical_crossentropy at 0x134d851e0>,1.4,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>
15,0.14091289134898224,0.9485037,0.22801976719699105,0.92293745,<function relu at 0x135faad90>,2,0.1,15,<function sigmoid at 0x135faaea0>,<function categorical_crossentropy at 0x134d851e0>,1.8499999999999999,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>
15,0.1324612997882418,0.94753206,0.1300066097633025,0.9365367,<function relu at 0x135faad90>,2,0.1,15,<function sigmoid at 0x135faaea0>,<function categorical_crossentropy at 0x134d851e0>,2.3,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>
15,nan,0.16498251,nan,0.17089756,<function relu at 0x135faad90>,2,0.1,15,<function sigmoid at 0x135faaea0>,<function categorical_crossentropy at 0x134d851e0>,2.75,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>
15,0.1254008305271485,0.9500583,0.14687089192312325,0.94152313,<function relu at 0x135faad90>,2,0.1,15,<function sigmoid at 0x135faaea0>,<function categorical_crossentropy at 0x134d851e0>,3.1999999999999997,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>
15,0.18268974462103854,0.93354064,0.13647660809297016,0.95194924,<function relu at 0x135faad90>,2,0.1,15,<function sigmoid at 0x135faaea0>,<function categorical_crossentropy at 0x134d851e0>,3.6499999999999995,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>
15,nan,0.16498251,nan,0.17089756,<function relu at 0x135faad90>,2,0.1,15,<function sigmoid at 0x135faaea0>,<function categorical_crossentropy at 0x134d851e0>,4.1,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>
15,nan,0.16498251,nan,0.17089756,<function relu at 0x135faad90>,2,0.1,15,<function sigmoid at 0x135faaea0>,<function categorical_crossentropy at 0x134d851e0>,4.55,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>
15,0.15821227626041465,0.94364554,0.15715665551995078,0.9406165,<function relu at 0x135faad90>,2,0.2,15,<function sigmoid at 0x135faaea0>,<function categorical_crossentropy at 0x134d851e0>,0.5,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>
15,0.16381299761718848,0.93431795,0.1377755936087082,0.93336356,<function relu at 0x135faad90>,2,0.2,15,<function sigmoid at 0x135faaea0>,<function categorical_crossentropy at 0x134d851e0>,0.95,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>
15,0.2016921124405476,0.9238243,0.14034303150118527,0.9315503,<function relu at 0x135faad90>,2,0.2,15,<function sigmoid at 0x135faaea0>,<function categorical_crossentropy at 0x134d851e0>,1.4,<class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>
